N [I]Compares Swaps Time [M]Compares Swaps Time [Q]Compares Swaps Time [C]Compares Swaps Time [H]Compares Swwaps Time
7000 124033100 124103790 0.8145 907060 907060 0.0095 1034495 583198 0.0093 1416879 492999 0.0027 1003575 605625 0.0089 
7100 127292785 127364485 0.8559 921200 921200 0.0102 1083007 571863 0.0098 1449663 504191 0.0029 1051535 594429 0.0095 
7200 130434943 130507653 0.8272 935340 935340 0.0098 1086766 560783 0.0094 1467585 511489 0.0026 1053650 581855 0.0095 
7300 134761743 134835463 0.8448 949480 949480 0.0099 1097015 628903 0.0102 1512435 532417 0.0027 1063675 651283 0.0096 
7400 138395036 138469765 0.8816 963620 963620 0.0101 1090236 594743 0.0095 1554094 535485 0.0029 1057063 617593 0.0097 
7500 141914627 141990367 0.8824 977760 977760 0.01 1130822 625357 0.0099 1545616 539295 0.0028 1096633 647729 0.0094 
7600 145950218 146026968 0.9116 991900 991900 0.0107 1161688 665251 0.0107 1577800 551502 0.0029 1126710 687263 0.0098 
7700 149719769 149797529 0.9448 1006040 1006040 0.0099 1143675 620519 0.0099 1555711 553395 0.0029 1109099 643995 0.0094 
7800 153539519 153618289 0.9662 1020180 1020180 0.0104 1229172 681285 0.0114 1654948 561275 0.0032 1193021 703608 0.0101 
7900 157566743 157646523 0.9804 1034320 1034320 0.0101 1195106 658516 0.0105 1656337 572262 0.0028 1158381 680811 0.0106 
8000 162170529 162251319 1.032 1048460 1048460 0.011 1203133 653744 0.0104 1644023 574503 0.003 1165620 675583 0.0104 
8100 165096375 165178175 1.131 1062600 1062600 0.0124 1242463 668806 0.0114 1671224 585092 0.0034 1204531 691591 0.0111 
8200 169739816 169822626 1.1324 1076821 1076821 0.0113 1252285 695695 0.0116 1693415 596065 0.003 1214028 718537 0.0108 
8300 173966074 174049894 1.0941 1091971 1091971 0.0112 1263531 716348 0.0112 1734616 595616 0.003 1224765 738947 0.0105 
8400 178604282 178689111 1.1125 1107121 1107121 0.0111 1303119 729333 0.0114 1739252 597776 0.0032 1263555 751567 0.0115 
8500 182432367 182518207 1.1467 1122271 1122271 0.0123 1326715 744304 0.0121 1785235 634626 0.0035 1286265 766556 0.0115 
8600 186049407 186136257 1.0997 1137421 1137421 0.0106 1335699 742268 0.0113 1804219 622877 0.0031 1294707 764577 0.0106 
8700 190658555 190746415 1.1467 1152571 1152571 0.0112 1342692 762949 0.0113 1834736 636983 0.0031 1301707 786240 0.011 
8800 194477761 194566630 1.261 1167721 1167721 0.012 1333003 743867 0.0121 1847323 642784 0.0032 1290451 765911 0.0107 
8900 200353954 200443834 1.3555 1182871 1182871 0.0122 1371263 761439 0.0128 1922467 654509 0.0035 1328567 784305 0.0116 
9000 204034313 204125203 1.3073 1198021 1198021 0.0128 1396823 815951 0.0126 1880780 656826 0.0033 1352638 837131 0.012 
9100 208800959 208892859 1.2636 1213171 1213171 0.0118 1427397 792474 0.0121 1952347 657604 0.003 1383438 814706 0.0116 
9200 214353634 214446544 1.2629 1228321 1228321 0.0114 1448741 819364 0.0122 1942898 670281 0.0032 1403588 840721 0.0115 
9300 219164852 219258772 1.3384 1243471 1243471 0.0122 1473497 825251 0.0123 1935617 681466 0.0033 1427729 846952 0.0121 
9400 222574658 222669588 1.6565 1258621 1258621 0.0145 1473388 820044 0.0141 2025002 710714 0.0037 1426509 841250 0.0129 
9500 227547331 227643271 1.4496 1273771 1273771 0.0134 1475514 838061 0.0135 2017939 688694 0.0037 1429181 861068 0.0141 
9600 232265275 232362225 1.4932 1288921 1288921 0.0132 1493437 850353 0.0135 2093123 712644 0.0035 1445148 870955 0.012 
9700 237239365 237337325 1.7083 1304071 1304071 0.0166 1516512 825183 0.0146 2061852 704921 0.004 1467974 846393 0.0135 
9800 242632673 242731643 1.8825 1319221 1319221 0.0156 1532781 850453 0.0161 2069501 702550 0.0041 1482953 870708 0.0143 
9900 247254319 247354299 1.6965 1334371 1334371 0.0146 1571915 896645 0.0143 2123060 734556 0.0036 1521989 917017 0.0153 
10000 251683591 251784581 1.532 1349521 1349521 0.0131 1591286 900509 0.0135 2177549 746071 0.0037 1540263 921260 0.0129 
